Key,Location,Sample ID,d13C bulk (PDB),d13C cuticle (PDB)
20624,Hauso Flat,MT97-011,-24.62,-24.15
20625,Hauso Flat,MT97-010,-24.42,-25.1
20626,Hauso Flat,MT97-009,-23.91,-24.33
20627,Hauso Flat,MT97-008,,-23.86
20628,Hauso Flat,MT97-007,-24-51,
20629,Hauso Flat,MT97-006,-23.94,-24
20630,Hauso Flat,MT97-005,-23.3,-23.21
20631,Hauso Flat,MT97-004,-26.08,-25.67
20632,Hauso Flat,MT97-003,-24.26,-24.36
20633,Hauso Flat,MT97-002,-24.42,-25.67
20634,Hauso Flat,MT97-001,-25.62,-25.49
20635,Hell Creek Road,MT97-099,-26.62,-26.8
20636,Hell Creek Road,MT97-098,-24.65,-24.35
20637,Hell Creek Road,MT97-097,-24.04,-23.38
20638,Hell Creek Road,MT97-096,-26.12,-25.41
20639,Hell Creek Road,MT97-095,-25.49,
20640,Hell Creek Road,MT97-094,-23.82,
20641,Hell Creek Road,MT97-093,-23.65,-24.19
20642,Hell Creek Road,MT97-092,-23.62,
20643,Hell Creek Road,MT97-091,-23.09,
20644,Hell Creek Road,MT97-090,-26.77,-25.99
20645,Hell Creek Road,MT97-089,-24.31,-24.01
20646,Hell Creek Road,MT97-088,-24.63,-24.47
20647,Hell Creek Road,MT97-087,-24.24,-24.45
20648,Pyramid Butte,ND98-197,-25.74,
20649,Pyramid Butte,ND98-196,-23.94,
20650,Pyramid Butte,ND98-195,-24.49,
20651,Pyramid Butte,ND98-194,-22.94,
20652,Pyramid Butte,ND98-193,-23.88,
20653,Pyramid Butte,ND98-192,-24.8,
20654,Pyramid Butte,ND98-191,-23.94,
20655,Pyramid Butte,ND98-190,-23.31,
20656,Pyramid Butte,ND98-189,-22.9,
20657,Pyramid Butte,ND98-188,-23.12,
20658,Pyramid Butte,ND98-187,-24.35,
20659,Pyramid Butte,ND98-186,-23.01,
20660,Pyramid Butte,ND98-118,-24.56,
20661,Pyramid Butte,ND98-117,-24.53,
20662,Pyramid Butte,ND98-116,-24.88,
20663,Pyramid Butte,ND98-115,-24.18,
20664,Pyramid Butte,ND98-114,-24.35,
20665,Pyramid Butte,ND98-113,-24.3,
20666,Pyramid Butte,ND98-112,-23.99,
20667,Pyramid Butte,ND98-111,-24.54,
20668,Pyramid Butte,ND98-110,-26.28,
20669,Pyramid Butte,ND98-109,-24.92,
20670,Pyramid Butte,ND98-108,-25.92,
20671,Pyramid Butte,ND98-107,-24.37,
20672,Pyramid Butte,ND98-106,-25.02,
20673,Pyramid Butte,ND98-105,-23.41,
20674,Pyramid Butte,ND98-104,-23.51,
20675,Pyramid Butte,ND98-103,-22.61,
20676,Pyramid Butte,ND98-102,-24.48,
20677,Pyramid Butte,ND98-101,-24.06,
20678,Pyramid Butte,ND98-100,-24.99,
20679,Pyramid Butte,ND98-099,-24.61,
20680,Pyramid Butte,ND98-098,-23.97,
20681,Pyramid Butte,ND98-097,-23.42,
20682,Pyramid Butte,ND98-096,-23.58,
20683,Pyramid Butte,ND98-095,-24.39,
20684,Pyramid Butte,ND98-094,-23.87,
20685,Pyramid Butte,ND98-093,-23.77,
20686,Pyramid Butte,ND98-185,-23.69,
20687,Pyramid Butte,ND98-184,-23.74,
20688,Pyramid Butte,ND98-183,-23.78,
20689,Pyramid Butte,ND98-182,-24.84,
20690,Pyramid Butte,ND98-181,-23.77,
20691,Pyramid Butte,ND98-180,-24.96,
20692,Pyramid Butte,ND98-179,-24.83,
20693,Pyramid Butte,ND98-178,-24.27,
20694,Pyramid Butte,ND98-177,-23.99,
20695,Pyramid Butte,ND98-176,-23.82,
20696,Pyramid Butte,ND98-174,-24.3,
20697,Pyramid Butte,ND98-173,-25.96,
20698,Pyramid Butte,ND98-172,-25.47,
