Location,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,,,,,,,
Australia,-10.6892,142.5306,-43.6444,146.825,-28.6375,153.6372,-26.1514,113.155,,,,,,,
Austria,49.02,17.16,46.38,9.53,,,,,,,,,,,
Africa,37.53,63.50,-34.85,-25.42,,,,,,,,,,,
Argentina,-21.8,-53.68,-55.06,-73.5,,,,,,,,,,,
Azerbaijan,41.9,50.55,38.4,44.77,,,,,,,,,,,
Barents Sea,81.23,58.42,65.5,25.75,,,,,,,,,,,
Bear Island Svalbard,74.44,19.0475,74.338,19.0594,,,,,,,,,,,
Belgium,51.5,6.38,49.51,2.58,,,,,,,,,,,
Boliva,-9.67,-57.48,-22.88,-69.33,,,,,,,,,,,
Botswana,-17.8,29.37,-26.9,20,,,,,,,,,,,
Brazil,5.27,-34.79,-33.75,-73.98,,,,,,,,,,,
Cameroon,13.08,16.06,1.66,8.5,,,,,,,,,,,
Canada,72,-55.62,41.91,-141,,,,,,,,,,,
Cape Verde,17.21,-25.36,14.8,-22.67,,,,,,,,,,,
China,53.55,73.51,20.23,134.74,,,,,,,,,,,
Czechia,51.06,18.86,48.55,12.09,,,,,,,,,,,
Democratic Republic of the Congo,5.39,31.31,-13.45,12.2,,,,,,,,,,,
Denmark,57.75,15.2,54.56,8.07,,,,,,,,,,,
Estonia,59.82,28.21,57.51,21.76,,,,,,,,,,,
Eurasia,77.73,-169.65,1.25,-9.48,,,,,,,,,,,
Europe,71.13,66.62,36,-9.5,,,,,,,,,,,
Finland,70.09,31.59,59.51,19.13,,,,,,,,,,,
France,51.08,8.22,42.33,4.78,,,,,,,,,,,
Gabon,2.31,8.71,-3.96,14.52,,,,,,,,,,,
Germany,55.05,15.03,47.27,5.87,,,,,,,,,,,
Ghana,11.18,1.2,4.74,-3.11,,,,,,,,,,,
Greenland,83.67,-11.32,59.73,-73.17,,,,,,,,,,,
Hungary,48.56,22.86,45.78,16.12,,,,,,,,,,,
India,35.67,97.4,6.75,68.19,,,,,,,,,,,
Ireland,55.38,-5.43,51.45,-10.48,,,,,,,,,,,
Italy,47.08,18.52,37.93,6.62,,,,,,,,,,,
Japan,45.53,153.99,20.43,122.93,,,,,,,,,,,
Khazakhstan,55.44,46.51,40.57,87.31,,,,,,,,,,,
Latvia,58.09,28.24,55.67,20.97,,,,,,,,,,,
Lithuania,56.45,26.84,53.90,20.96,,,,,,,,,,,
Mauritania,27.31,-4.88,14.73,-17.07,,,,,,,,,,,
Mali,25,4.27,10.15,-12.24,,,,,,,,,,,
Mali / Mauritania,27.31,-4.88,14.73,-17.07,25,4.27,10.15,-12.24,,,,,,,
Mongolia,52.15,119.98,41.58,86.87,,,,,,,,,,,
Morocco,35.92,-13.17,27.67,-1.00,,,,,,,,,,,
Namibia,-16.96,25.26,-28.97,11.75,,,,,,,,,,,
New Zealand,-34.43,166.43,-47.28,178.54,,,,,,,,,,,
North America,83.67,-11.49,5.52,172.47,,,,,,,,,,,
North Atlantic Ocean,70.10,9.35,0.00,-82.40,,,,,,,,,,,
Norway,71.19,31.17,57.96,4.50,,,,,,,,,,,
Oman,26.50,59.83,16.65,52.00,,,,,,,,,,,
Poland,54.83,24.15,49.00,14.12,,,,,,,,,,,
Portugal,42.15,-9.50,36.96,-6.19,,,,,,,,,,,
Russia,81.84,-169.02,41.22,19.64,,,,,,,,,,,
Scotland,60.85,-13.68,54.63,-0.72,,,,,,,,,,,
Slovakia,49.61,16.83,47.73,22.57,,,,,,,,,,,
Slovenia,46.88,16.60,45.42,13.38,,,,,,,,,,,
South Africa,-22.13,16.45,-46.98,38.00,,,,,,,,,,,
South America,15.88,-28.85,-55.98,-81.14,,,,,,,,,,,
Spain,43.78,3.32,36.00,-9.30,,,,,,,,,,,
Svalbard,80.86,33.46,76.42,10.48,,,,,,,,,,,
Spitsbergen,80.06,21.50,76.42,10.48,,,,,,,,,,,
Sweden,69.06,24.16,55.34,10.96,,,,,,,,,,,
UK,60.85,1.77,49.85,-8.64,,,,,,,,,,,
Ukraine,52.38,40.23,44.39,22.14,,,,,,,,,,,
Uruguay,-30.09,-53.18,-35.03,-58.44,,,,,,,,,,,
USA,49.38,-66.95,25.12,-124.73,,,,,,,,,,,
Zambia,-8.21,33.55,-18.07,22.00,,,,,,,,,,,
Zimbabwe,-15.65,33.06,-22.42,25.26,,,,,,,,,,,
Middle East,42.11,24.70,12.60,63.25,,,,,,,,,,,
Mozambique Belt,5.00,41.00,-27.00,33.00,,,,,,,,,,,
Taiwan,25.31,121.99,21.90,120.07,,,,,,,,,,,
